"GeneID","GeneName","Cluster","Order","Na_REG","NaCl (130mM)","NaNO3 (130mM)","KCl (130mM)","Sorbitol (260mM)","ABA (25uM)","NaCl (130mM)_padj","NaNO3 (130mM)_padj","KCl (130mM)_padj","Sorbitol (260mM)_padj","ABA (25uM)_padj"
"AT3G02730","TRXF1",1,4019,"NSS",0.584186308842341,0.124229972168949,0.220973294187891,0.358497215001743,0.110421816506361,5.72722024753481e-05,0.371935947749031,0.149864365401056,0.018270242608294,0.435366265584254
"AT3G02800","DSP3",4,1943,"NSS",-0.615947924563505,-0.86344678650259,-0.569131911612048,-0.566389422730807,-0.0808761502008571,0.000632283613833088,2.87258268025863e-06,0.00155730377867629,0.00137937297561141,0.313425740256793
"AT3G02830","ZFN1",1,2997,"NSS",0.541248560702912,0.392843444347813,0.361074505820651,0.43691303894349,0.338316443434763,1.26557492687135e-09,7.60186457842758e-06,0.000109472334735286,1.23914867376859e-06,0.000162471822578951
"AT3G02840","AT3G02840",1,3766,"UP",1.02601667186364,1.34785495253746,-0.137148048139587,-0.616460424496655,-1.19740060977209,0.00245960314120785,9.51254183256075e-05,0.768583307101078,0.507906386243382,0.145083822924067
"AT3G02850","SKOR",4,2301,"NSS",-1.53702731401435,-0.2383041205403,-1.53331065323098,-0.296518583355594,-1.72361150904248,2.94279496114573e-21,0.0247614880549,2.05297217202149e-20,0.0124138621545869,3.61810696451884e-25
"AT3G02870","VTC4",1,4269,"NSS",0.647749445743668,0.529462319049977,0.376560091637008,0.268234905105099,0.167108354755664,2.95095155539672e-14,3.7304702597061e-10,2.20247448520145e-05,0.00331094487233771,0.0653462707411046
"AT3G02875","ILR1",2,4781,"NSS",0.804557186478948,0.784502125628608,0.863565132759042,0.714807730325898,0.789044757939706,4.67010785309588e-14,5.36093971762591e-14,1.29195342605875e-15,1.46140403164637e-11,7.99217160561341e-14
"AT3G02885","GASA5",5,1736,"NSS",-1.58051036304636,-1.87333207099251,-1.71034341989241,-2.52271545671947,-3.4454646017352,1.09596730899076e-35,1.44260179402596e-48,5.14150219618885e-40,4.82239136391654e-78,7.44426785153367e-119
"AT3G02940","MYB107",3,48,"NSS",-0.0976746553233072,-0.594395671374741,-0.428809732955508,-0.63792449601482,-0.0938724481946047,0.377966847965084,0.00146701215447986,0.0258912088652577,0.00110360088343023,0.406440716458179
"AT3G03000","CML18",3,1359,"NSS",-0.198593548208644,-0.21511135500691,-0.533932580784775,-0.305246005172696,-0.60183340521947,0.188188635159972,0.157655797741674,0.00126239507499178,0.0625381143201128,0.000200414567181084
